CMDLINE python app.py
MEM 0.203125 1756915257.8344
MEM 25.968750 1756915257.9396
MEM 38.031250 1756915258.0402
MEM 46.265625 1756915258.1427
MEM 59.343750 1756915258.2478
MEM 56.000000 1756915258.3530
MEM 60.625000 1756915258.4582
MEM 127.296875 1756915258.5632
MEM 155.828125 1756915258.6661
MEM 156.015625 1756915258.7712
MEM 156.015625 1756915258.8735
MEM 144.031250 1756915258.9786
MEM 116.421875 1756915259.0826
MEM 100.015625 1756915259.1844
MEM 100.000000 1756915259.2896
MEM 100.000000 1756915259.3917
MEM 87.187500 1756915259.4969
MEM 87.187500 1756915259.6021
MEM 87.734375 1756915259.7073
MEM 83.921875 1756915259.8117
MEM 83.921875 1756915259.9169
MEM 77.531250 1756915260.0222
MEM 69.125000 1756915260.1637
MEM 18.375000 1756915260.2674
MEM 13.453125 1756915260.3718
MEM 12.890625 1756915260.4751
MEM 12.890625 1756915260.5769
MEM 13.921875 1756915260.6819
MEM 13.906250 1756915260.7870
MEM 13.906250 1756915260.8904
MEM 13.906250 1756915260.9958
MEM 13.906250 1756915261.0992
MEM 13.906250 1756915261.2044
MEM 13.890625 1756915261.3097
MEM 13.890625 1756915261.4151
MEM 13.890625 1756915261.5160
MEM 13.890625 1756915261.6176
MEM 13.937500 1756915261.7189
MEM 13.937500 1756915261.8218
MEM 13.937500 1756915261.9263
MEM 13.937500 1756915262.0317
MEM 13.937500 1756915262.1358
MEM 13.937500 1756915262.2375
MEM 13.937500 1756915262.3427
MEM 13.937500 1756915262.4479
MEM 13.937500 1756915262.5532
MEM 13.937500 1756915262.6574
MEM 13.937500 1756915262.7606
MEM 13.906250 1756915262.8658
MEM 13.906250 1756915262.9698
MEM 13.906250 1756915263.0738
MEM 13.906250 1756915263.1792
MEM 13.906250 1756915263.2826
MEM 13.859375 1756915263.3878
MEM 13.859375 1756915263.4905
MEM 13.859375 1756915263.5949
MEM 13.906250 1756915263.7003
MEM 13.953125 1756915263.8020
MEM 13.953125 1756915263.9067
MEM 13.953125 1756915264.0111
MEM 13.953125 1756915264.1138
MEM 13.343750 1756915264.2190
MEM 13.343750 1756915264.3242
MEM 13.343750 1756915264.4294
MEM 13.343750 1756915264.5301
MEM 13.343750 1756915264.6354
MEM 13.375000 1756915264.7406
MEM 13.375000 1756915264.8443
MEM 13.375000 1756915264.9496
MEM 13.375000 1756915265.0533
MEM 13.375000 1756915265.1539
MEM 13.375000 1756915265.2592
MEM 13.375000 1756915265.3643
MEM 13.375000 1756915265.4671
MEM 13.375000 1756915265.5723
MEM 13.390625 1756915265.6776
MEM 13.390625 1756915265.7817
MEM 13.390625 1756915265.8872
MEM 13.390625 1756915265.9926
MEM 13.390625 1756915266.0969
MEM 13.390625 1756915266.2021
MEM 13.390625 1756915266.3067
MEM 13.390625 1756915266.4113
MEM 13.390625 1756915266.5130
MEM 13.390625 1756915266.6145
MEM 13.390625 1756915266.7200
MEM 13.390625 1756915266.8246
MEM 13.390625 1756915266.9299
MEM 13.390625 1756915267.0354
MEM 13.390625 1756915267.1408
MEM 13.390625 1756915267.2463
MEM 13.390625 1756915267.3519
MEM 13.390625 1756915267.4575
MEM 13.390625 1756915267.5627
MEM 13.390625 1756915267.6679
MEM 13.437500 1756915267.7734
MEM 13.437500 1756915267.8787
MEM 13.437500 1756915267.9815
MEM 13.437500 1756915268.0850
MEM 13.437500 1756915268.1903
MEM 13.437500 1756915268.2956
MEM 13.437500 1756915268.4002
MEM 13.437500 1756915268.5058
MEM 13.437500 1756915268.6110
MEM 13.437500 1756915268.7157
MEM 13.437500 1756915268.8188
MEM 13.437500 1756915268.9246
MEM 13.437500 1756915269.0292
MEM 13.437500 1756915269.1298
MEM 13.437500 1756915269.2341
MEM 13.437500 1756915269.3367
MEM 13.437500 1756915269.4419
MEM 13.437500 1756915269.5473
MEM 13.437500 1756915269.6517
MEM 13.484375 1756915269.7571
MEM 13.484375 1756915269.8635
MEM 13.390625 1756915270.0329
MEM 13.359375 1756915270.1363
MEM 13.359375 1756915270.2377
MEM 13.359375 1756915270.3419
MEM 13.359375 1756915270.4468
MEM 13.359375 1756915270.5487
MEM 13.343750 1756915270.6519
MEM 13.359375 1756915270.7571
MEM 13.359375 1756915270.8622
MEM 13.359375 1756915270.9656
MEM 13.359375 1756915271.0710
MEM 13.359375 1756915271.1755
MEM 13.359375 1756915271.2762
MEM 13.359375 1756915271.3771
MEM 13.359375 1756915271.4774
MEM 13.359375 1756915271.5821
MEM 13.328125 1756915271.6888
MEM 13.281250 1756915271.7940
MEM 13.281250 1756915271.8992
MEM 13.265625 1756915272.0088
MEM 13.265625 1756915272.1141
MEM 13.265625 1756915272.2161
MEM 13.265625 1756915272.3217
MEM 13.250000 1756915272.4234
MEM 13.250000 1756915272.5241
MEM 11.906250 1756915272.6269
MEM 13.265625 1756915272.7312
MEM 13.265625 1756915272.8357
MEM 13.265625 1756915272.9365
MEM 13.265625 1756915273.0398
MEM 13.265625 1756915273.2126
MEM 13.265625 1756915273.3166
MEM 13.265625 1756915273.4187
MEM 13.265625 1756915273.5409
MEM 11.906250 1756915273.6459
MEM 13.281250 1756915273.7773
MEM 13.281250 1756915273.8826
MEM 13.281250 1756915273.9882
MEM 13.281250 1756915274.0933
MEM 13.281250 1756915274.1986
MEM 13.281250 1756915274.3002
MEM 13.281250 1756915274.4055
MEM 13.281250 1756915274.5107
MEM 13.281250 1756915274.6113
MEM 13.296875 1756915274.7149
MEM 13.296875 1756915274.8189
MEM 13.296875 1756915274.9237
MEM 13.296875 1756915275.0291
MEM 13.296875 1756915275.1305
MEM 13.296875 1756915275.2311
MEM 13.296875 1756915275.3318
MEM 13.296875 1756915275.4341
MEM 13.296875 1756915275.5379
MEM 13.296875 1756915275.6417
MEM 13.296875 1756915275.7430
MEM 13.296875 1756915275.8484
MEM 13.296875 1756915275.9516
MEM 13.296875 1756915276.0569
MEM 13.296875 1756915276.1579
MEM 13.296875 1756915276.2608
MEM 13.296875 1756915276.3651
MEM 13.296875 1756915276.4702
MEM 13.296875 1756915276.5745
MEM 13.296875 1756915276.6799
MEM 13.328125 1756915276.7854
MEM 13.328125 1756915276.8907
MEM 13.328125 1756915276.9959
MEM 13.328125 1756915277.1169
MEM 11.953125 1756915277.2223
MEM 11.953125 1756915277.3253
MEM 11.968750 1756915277.4305
MEM 11.968750 1756915277.5325
MEM 11.968750 1756915277.6379
MEM 13.328125 1756915277.7430
MEM 13.328125 1756915277.8485
MEM 13.328125 1756915277.9512
MEM 13.312500 1756915278.0515
MEM 13.312500 1756915278.1565
MEM 13.312500 1756915278.2619
MEM 13.312500 1756915278.3660
MEM 13.312500 1756915278.4713
MEM 13.312500 1756915278.5747
MEM 13.312500 1756915278.6802
MEM 13.312500 1756915278.7855
MEM 13.312500 1756915278.8910
MEM 13.312500 1756915278.9962
MEM 13.312500 1756915279.1002
MEM 13.312500 1756915279.2055
MEM 13.312500 1756915279.3083
MEM 13.312500 1756915279.4103
MEM 13.312500 1756915279.5130
MEM 13.312500 1756915279.6188
MEM 13.328125 1756915279.7235
MEM 13.328125 1756915279.8291
MEM 13.328125 1756915279.9353
MEM 13.328125 1756915280.0360
MEM 13.328125 1756915280.1414
MEM 13.328125 1756915280.2458
MEM 13.328125 1756915280.3480
MEM 13.328125 1756915280.4505
MEM 13.328125 1756915280.5534
MEM 13.328125 1756915280.6569
MEM 13.328125 1756915280.7620
MEM 13.328125 1756915280.8673
MEM 13.328125 1756915280.9684
MEM 13.328125 1756915281.0738
MEM 13.328125 1756915281.1756
MEM 13.328125 1756915281.2808
MEM 13.328125 1756915281.3860
MEM 13.328125 1756915281.4869
MEM 13.328125 1756915281.5881
MEM 13.328125 1756915281.6940
MEM 13.390625 1756915281.7988
MEM 13.390625 1756915281.8996
MEM 13.390625 1756915282.0029
MEM 13.390625 1756915282.1098
MEM 13.390625 1756915282.2150
MEM 13.390625 1756915282.3202
MEM 13.390625 1756915282.4253
MEM 13.390625 1756915282.5305
MEM 13.390625 1756915282.6360
MEM 13.390625 1756915282.7414
MEM 13.390625 1756915282.8441
MEM 13.390625 1756915282.9494
MEM 13.390625 1756915283.0543
MEM 13.390625 1756915283.1581
MEM 13.390625 1756915283.2603
MEM 13.390625 1756915283.3655
MEM 13.390625 1756915283.4707
MEM 13.390625 1756915283.5749
MEM 13.390625 1756915283.6802
MEM 13.390625 1756915283.7855
MEM 13.390625 1756915283.8908
MEM 13.390625 1756915283.9957
MEM 13.390625 1756915284.0990
MEM 13.390625 1756915284.1994
MEM 13.390625 1756915284.3000
MEM 13.390625 1756915284.4053
MEM 13.390625 1756915284.5092
MEM 13.390625 1756915284.6142
MEM 13.390625 1756915284.7198
MEM 13.390625 1756915284.8248
MEM 13.390625 1756915284.9258
MEM 13.390625 1756915285.0285
MEM 13.390625 1756915285.1340
MEM 13.390625 1756915285.2396
MEM 13.390625 1756915285.3415
MEM 13.390625 1756915285.4468
MEM 13.390625 1756915285.5520
MEM 13.390625 1756915285.6575
MEM 13.390625 1756915285.7611
MEM 13.390625 1756915285.8622
MEM 13.390625 1756915285.9677
MEM 13.390625 1756915286.0723
MEM 13.390625 1756915286.1778
MEM 13.390625 1756915286.2798
MEM 13.390625 1756915286.3807
MEM 13.390625 1756915286.4859
MEM 13.390625 1756915286.5912
MEM 13.390625 1756915286.6931
MEM 13.390625 1756915286.7979
MEM 13.390625 1756915286.8991
MEM 13.390625 1756915287.0014
MEM 13.390625 1756915287.1051
MEM 13.390625 1756915287.2105
MEM 13.390625 1756915287.3149
MEM 13.390625 1756915287.4202
MEM 13.390625 1756915287.5254
MEM 13.390625 1756915287.6306
MEM 13.390625 1756915287.7348
MEM 13.390625 1756915287.8373
MEM 13.390625 1756915287.9421
MEM 13.390625 1756915288.0449
MEM 13.390625 1756915288.1502
MEM 13.390625 1756915288.2558
MEM 13.390625 1756915288.3612
MEM 13.390625 1756915288.4665
MEM 13.390625 1756915288.5716
MEM 13.390625 1756915288.6769
MEM 13.390625 1756915288.7822
MEM 13.390625 1756915288.8854
MEM 13.390625 1756915288.9907
MEM 13.390625 1756915289.0948
MEM 13.390625 1756915289.1996
MEM 13.390625 1756915289.3051
MEM 13.390625 1756915289.4088
MEM 13.390625 1756915289.5137
MEM 13.390625 1756915289.6189
MEM 13.390625 1756915289.7242
MEM 13.390625 1756915289.8259
MEM 13.390625 1756915289.9315
MEM 13.390625 1756915290.0370
MEM 13.390625 1756915290.1425
MEM 13.390625 1756915290.2480
MEM 13.390625 1756915290.3528
MEM 13.390625 1756915290.4555
MEM 13.390625 1756915290.5608
MEM 13.390625 1756915290.6659
MEM 13.390625 1756915290.7712
MEM 13.390625 1756915290.8718
MEM 13.390625 1756915290.9772
MEM 13.390625 1756915291.0812
MEM 13.390625 1756915291.1838
MEM 13.390625 1756915291.2860
MEM 13.390625 1756915291.3915
MEM 13.390625 1756915291.4967
MEM 13.390625 1756915291.6020
MEM 13.390625 1756915291.7073
MEM 13.390625 1756915291.8126
MEM 13.390625 1756915291.9180
MEM 13.390625 1756915292.0202
MEM 13.390625 1756915292.1221
MEM 13.390625 1756915292.2253
MEM 13.390625 1756915292.3296
MEM 13.390625 1756915292.4334
MEM 13.390625 1756915292.5353
MEM 13.390625 1756915292.6406
MEM 13.390625 1756915292.7419
MEM 13.421875 1756915292.8471
MEM 13.421875 1756915292.9502
MEM 13.421875 1756915293.0546
MEM 13.421875 1756915293.1586
MEM 13.421875 1756915293.2639
MEM 13.421875 1756915293.3643
MEM 13.421875 1756915293.4696
MEM 13.421875 1756915293.5710
MEM 13.421875 1756915293.6764
MEM 13.421875 1756915293.7771
MEM 13.421875 1756915293.8806
MEM 13.421875 1756915293.9849
MEM 13.421875 1756915294.0859
MEM 13.421875 1756915294.1892
MEM 13.421875 1756915294.2945
MEM 13.421875 1756915294.3986
MEM 13.421875 1756915294.5041
MEM 13.421875 1756915294.6086
MEM 13.421875 1756915294.7138
MEM 13.437500 1756915294.8191
MEM 13.437500 1756915294.9244
MEM 13.437500 1756915295.0296
MEM 13.437500 1756915295.1345
MEM 13.437500 1756915295.2371
MEM 13.437500 1756915295.3425
MEM 13.437500 1756915295.4432
MEM 13.437500 1756915295.5487
MEM 13.437500 1756915295.6517
MEM 13.437500 1756915295.7530
MEM 13.437500 1756915295.8575
MEM 13.437500 1756915295.9602
MEM 13.437500 1756915296.0617
MEM 13.437500 1756915296.1665
MEM 13.437500 1756915296.2721
MEM 13.437500 1756915296.3775
MEM 13.437500 1756915296.4825
MEM 13.437500 1756915296.5842
MEM 13.437500 1756915296.6881
MEM 13.437500 1756915296.7935
MEM 13.437500 1756915296.8985
MEM 13.437500 1756915297.0038
MEM 13.437500 1756915297.1092
MEM 13.437500 1756915297.2147
MEM 13.437500 1756915297.3153
MEM 13.437500 1756915297.4161
MEM 13.437500 1756915297.5178
MEM 13.437500 1756915297.6203
MEM 13.437500 1756915297.7259
MEM 13.437500 1756915297.8303
MEM 13.437500 1756915297.9355
MEM 13.437500 1756915298.0408
MEM 13.437500 1756915298.1472
MEM 13.437500 1756915298.2506
MEM 13.437500 1756915298.3542
MEM 13.437500 1756915298.4545
MEM 13.437500 1756915298.5600
MEM 13.437500 1756915298.6627
MEM 13.437500 1756915298.7682
MEM 13.437500 1756915298.8737
MEM 13.437500 1756915298.9747
MEM 13.437500 1756915299.0799
MEM 13.437500 1756915299.1852
MEM 13.437500 1756915299.2906
MEM 13.437500 1756915299.3935
MEM 13.437500 1756915299.4986
MEM 13.437500 1756915299.6042
MEM 13.437500 1756915299.7098
