CMDLINE python app.py
MEM 0.203125 1756915708.5822
MEM 28.015625 1756915708.6874
MEM 40.390625 1756915708.7925
MEM 61.000000 1756915708.8955
MEM 67.296875 1756915709.0005
MEM 93.875000 1756915709.1057
MEM 93.875000 1756915709.2108
MEM 93.875000 1756915709.3122
MEM 93.703125 1756915709.4173
MEM 87.609375 1756915709.5225
MEM 80.125000 1756915709.6276
MEM 58.265625 1756915709.7324
MEM 58.265625 1756915709.8376
MEM 55.546875 1756915709.9402
MEM 55.875000 1756915710.0457
MEM 55.890625 1756915710.1472
MEM 55.890625 1756915710.2524
MEM 55.890625 1756915710.3576
MEM 55.890625 1756915710.4624
MEM 55.890625 1756915710.5676
MEM 55.890625 1756915710.6728
MEM 55.890625 1756915710.7780
MEM 55.890625 1756915710.8788
MEM 55.890625 1756915710.9822
MEM 55.890625 1756915711.0875
MEM 55.890625 1756915711.1929
MEM 55.890625 1756915711.2963
MEM 55.890625 1756915711.4018
MEM 55.890625 1756915711.5028
MEM 55.890625 1756915711.6063
MEM 55.890625 1756915711.7115
MEM 55.890625 1756915711.8164
MEM 55.890625 1756915711.9218
MEM 55.890625 1756915712.0269
MEM 55.921875 1756915712.1293
MEM 55.921875 1756915712.2344
MEM 55.921875 1756915712.3397
MEM 55.921875 1756915712.4450
MEM 55.921875 1756915712.5458
MEM 55.921875 1756915712.6510
MEM 55.921875 1756915712.7563
MEM 55.921875 1756915712.8616
MEM 55.921875 1756915712.9655
MEM 55.953125 1756915713.0709
MEM 55.953125 1756915713.1724
MEM 55.953125 1756915713.2775
MEM 55.953125 1756915713.3827
MEM 55.953125 1756915713.4880
MEM 55.953125 1756915713.5935
MEM 55.953125 1756915713.6973
MEM 55.953125 1756915713.8026
MEM 55.953125 1756915713.9082
MEM 55.953125 1756915714.0136
MEM 55.953125 1756915714.1158
MEM 55.953125 1756915714.2206
MEM 55.953125 1756915714.3250
MEM 55.953125 1756915714.4277
MEM 55.968750 1756915714.5330
MEM 55.968750 1756915714.6386
MEM 55.968750 1756915714.7438
MEM 55.968750 1756915714.8491
MEM 55.968750 1756915714.9543
MEM 55.968750 1756915715.0558
MEM 55.968750 1756915715.1612
MEM 55.968750 1756915715.2667
MEM 55.968750 1756915715.3719
MEM 55.968750 1756915715.4773
MEM 55.968750 1756915715.5788
MEM 55.968750 1756915715.6798
MEM 55.968750 1756915715.7850
MEM 55.968750 1756915715.8903
MEM 55.968750 1756915715.9957
MEM 55.968750 1756915716.0979
MEM 55.968750 1756915716.2010
MEM 55.968750 1756915716.3051
MEM 55.968750 1756915716.4106
MEM 55.968750 1756915716.5162
MEM 55.968750 1756915716.6218
MEM 55.968750 1756915716.7267
MEM 55.968750 1756915716.8319
MEM 55.968750 1756915716.9373
MEM 55.968750 1756915717.0396
MEM 55.968750 1756915717.1451
MEM 55.968750 1756915717.2507
MEM 55.968750 1756915717.3563
MEM 55.968750 1756915717.4590
MEM 55.968750 1756915717.5643
MEM 55.968750 1756915717.6696
MEM 55.968750 1756915717.7749
MEM 55.968750 1756915717.8802
MEM 55.968750 1756915717.9854
MEM 55.968750 1756915718.0891
MEM 55.968750 1756915718.1944
MEM 55.968750 1756915718.3000
MEM 55.968750 1756915718.4047
MEM 55.968750 1756915718.5086
MEM 55.968750 1756915718.6138
MEM 55.968750 1756915718.7158
MEM 55.968750 1756915718.8175
MEM 55.968750 1756915718.9200
MEM 55.968750 1756915719.0235
MEM 55.968750 1756915719.1291
MEM 55.968750 1756915719.2303
MEM 55.968750 1756915719.3357
MEM 55.968750 1756915719.4383
MEM 55.968750 1756915719.5396
MEM 55.968750 1756915719.6450
MEM 55.968750 1756915719.7490
MEM 55.968750 1756915719.8546
MEM 55.968750 1756915719.9585
MEM 55.968750 1756915720.0637
MEM 55.968750 1756915720.1691
MEM 55.968750 1756915720.2711
MEM 55.968750 1756915720.3764
MEM 55.968750 1756915720.4815
MEM 55.968750 1756915720.5870
MEM 55.968750 1756915720.6925
MEM 55.968750 1756915720.7979
MEM 55.968750 1756915720.8993
MEM 55.968750 1756915721.0046
MEM 55.968750 1756915721.1099
MEM 55.968750 1756915721.2152
MEM 55.968750 1756915721.3205
MEM 55.968750 1756915721.4250
MEM 55.968750 1756915721.5268
MEM 55.968750 1756915721.6302
MEM 55.968750 1756915721.7350
MEM 49.515625 1756915721.8392
MEM 12.468750 1756915721.9422
MEM 12.468750 1756915722.0469
MEM 13.593750 1756915722.1531
MEM 13.500000 1756915722.2553
MEM 13.468750 1756915722.3560
MEM 13.468750 1756915722.4612
MEM 13.468750 1756915722.5663
